timestamp_ns,accel_x,accel_y,accel_z
6531226748180,-6.533066,10.364787,3.1859624
6531240937503,-6.6327496,9.236956,-0.07173514
6531245667295,-6.681714,9.541364,-0.9747912
6531259856618,-5.9760857,11.549588,-1.680823
6531274045993,-3.6112185,14.214959,-1.1563327
6531274045993,-3.6112185,14.214959,-1.1563327
6531288235316,-1.2799724,15.117199,-1.1068084
6531288235316,-1.2799724,15.117199,-1.1068084
6531292965107,-1.1823443,14.713477,-0.9678975
6531307154430,-2.621464,12.99992,-0.5967016
6531307154430,-2.621464,12.99992,-0.5967016
6531311884222,-3.2830827,12.260752,-0.24115959
6531326073545,-6.163764,10.04605,0.9174174
6531344992659,-8.281156,8.691316,1.1345364
6531344992659,-8.281156,8.691316,1.1345364
6531349722451,-7.823404,8.699931,1.2460148
6531368641566,-4.6261787,9.719451,2.06633
6531368641566,-4.6261787,9.719451,2.06633
6531373371305,-3.8775964,9.806795,1.9386708
6531392290472,-1.9288092,7.4815617,0.18912342
6531397020211,-1.6950383,6.5748863,-0.053081512
6531401750003,-1.5619903,5.5105534,0.07164237
6531420669118,-0.8706732,1.7562876,1.7161994
6531425398909,-0.6637547,0.98880863,2.0957162
6531430128701,-0.5227995,0.28959846,2.2980137
6531444318024,-0.05114484,-0.99172974,1.7681639
6531444318024,-0.05114484,-0.99172974,1.7681639
6531453777607,0.34028387,-1.6209807,1.5450987
6531453777607,0.34028387,-1.6209807,1.5450987
6531458507399,0.5378244,-1.9072914,1.6195978
6531467966930,0.7386944,-2.52315,1.7974756
6531467966930,0.7386944,-2.52315,1.7974756
6531477426513,0.49385893,-3.2830772,2.105445
6531486886045,0.23602605,-3.8215199,2.4939828
6531496345628,-0.13360095,-3.7892618,2.5879824
6531496345628,-0.13360095,-3.7892618,2.5879824
6531501075420,-0.32296014,-3.5814657,2.561087
6531505805159,-0.42496085,-2.9131498,2.2643566
6531515264743,-0.109992504,-0.23273659,1.166298
6531519994534,-0.051986694,0.75796795,0.25645122
6531529454118,0.086760044,3.1201525,-1.8166941
6531529454118,0.086760044,3.1201525,-1.8166941
6531534183857,0.42760217,4.035389,-2.8498735
6531553103024,1.072654,4.473278,-4.376682
6531557832763,0.99814487,3.938509,-4.261565
6531562562555,0.97369814,3.323594,-3.8474078
6531576751930,0.88432944,1.5214767,-1.6452339
6531581481722,0.79041183,1.2826872,-0.8011799
6531586211461,0.9530629,1.1355705,-0.06907195
6531600400836,1.6972806,1.5054541,1.0304432
6531614590159,1.342685,1.7485867,0.9898734
6531614590159,1.342685,1.7485867,0.9898734
6531619319951,1.0331645,1.5254841,0.98581827
6531628779534,0.500046,0.8644552,1.0041181
6531628779534,0.500046,0.8644552,1.0041181
6531633509326,0.22576189,0.53883743,1.0240691
6531647698649,-0.5267458,-0.5884428,1.297314
6531652428441,-0.7283666,-0.92058754,1.354513
6531666617816,-0.7223673,-1.3583841,1.022468
6531666617816,-0.7223673,-1.3583841,1.022468
6531671347555,-0.64629817,-1.3338366,0.98993695
6531680807138,-0.51127315,-1.0607815,0.98184943
6531685536930,-0.3752787,-0.8673363,0.8267827
6531713915628,0.6142745,-0.13610935,-0.31882647
6531723375211,0.58852065,0.27738857,-0.38632768
6531723375211,0.58852065,0.27738857,-0.38632768
6531728105003,0.4609301,0.49937248,-0.50198936
6531737564586,0.13652349,0.94421864,-1.1558087
6531737564586,0.13652349,0.94421864,-1.1558087
6531742294378,-0.039699793,1.1117659,-1.5665859
6531747024118,-0.11917305,1.1685686,-1.9730899
6531751753909,-0.12850833,1.1792259,-2.292429
6531761213493,0.08931637,0.96936417,-2.4903536
6531761213493,0.08931637,0.96936417,-2.4903536
6531770673076,0.5061567,0.7966051,-2.0301464
6531770673076,0.5061567,0.7966051,-2.0301464
6531775402868,0.70525646,0.7199402,-1.7235631
6531780132659,0.89124775,0.66991615,-1.4657362
6531784862451,1.0004656,0.6538658,-1.3016627
6531794321982,0.93398964,0.5188341,-0.79203486
6531794321982,0.93398964,0.5188341,-0.79203486
6531799051774,0.75643134,0.40251637,-0.40219504
6531803781566,0.5987452,0.23225689,-0.029549092
6531808511357,0.44353914,-0.015828133,0.3505437
6531813241149,0.31150877,-0.27725887,0.6695765
6531817970941,0.23538637,-0.5425949,1.004797
6531827430524,0.14348817,-1.1235523,1.5471935
6531827430524,0.14348817,-1.1235523,1.5471935
6531836890107,-0.1982832,-1.5300884,1.842924
6531836890107,-0.1982832,-1.5300884,1.842924
6531841619847,-0.5701809,-1.6614223,1.8959861
6531846349638,-0.92971945,-1.6712337,1.7970468
6531851079430,-1.2561514,-1.5671439,1.5433366
6531860539013,-1.6799278,-1.2501287,1.1411604
6531860539013,-1.6799278,-1.2501287,1.1411604
6531865268805,-1.8444314,-1.1233292,1.0128673
6531869998597,-1.9788113,-0.99530125,0.83985984
6531874728388,-1.9682441,-0.8325691,0.62884235
6531879458180,-1.8556752,-0.6828909,0.4225454
6531884187972,-1.6695297,-0.59151554,0.20395939
6531893647503,-1.3422835,-0.5492039,-0.02197203
6531893647503,-1.3422835,-0.5492039,-0.02197203
6531903107086,-1.0901244,-0.4390669,-0.004491776
6531903107086,-1.0901244,-0.4390669,-0.004491776
6531907836878,-0.9334333,-0.4047613,0.04166919
6531912566670,-0.68957686,-0.38026714,0.10195947
6531917296461,-0.45442486,-0.35843563,0.12144673
6531926756045,-0.17497826,-0.2511692,0.19826627
6531926756045,-0.17497826,-0.2511692,0.19826627
6531936215628,0.049435616,-0.07804203,0.36905688
6531936215628,0.049435616,-0.07804203,0.36905688
6531940945420,0.17625618,0.038129807,0.33417416
6531945675211,0.23113084,0.13265228,0.18455014
6531950405003,0.11165452,0.1888771,0.037238
6531955134795,-0.016964912,0.16868305,0.030929655
6531959864586,-0.15689445,0.1821413,0.1179809
6531969324170,-0.118753195,0.34347248,0.25043678
6531969324170,-0.118753195,0.34347248,0.25043678
6531974053961,-0.17073584,0.4910698,0.09510207
6531978783701,-0.15757918,0.48806477,-0.4310164
6531983513493,-0.117688775,0.45171452,-0.6279227
6531988243336,-0.03689277,0.4441433,-0.68979746
6531992973076,0.08458996,0.5082407,-0.83698577
6532002432659,0.049763203,0.5832491,-0.20671487
6532002432659,0.049763203,0.5832491,-0.20671487
6532007162451,-0.11442661,0.7277336,-0.51538104
6532011892243,0.055630326,0.7141886,-0.69643515
6532016622034,0.13187301,0.574008,-0.4412105
6532021351826,0.32476377,0.44365215,-0.08142322
6532026081618,0.43840218,0.3040676,0.240107
6532035541201,0.43937528,0.059688568,0.6050276
6532035541201,0.43937528,0.059688568,0.6050276
6532045000784,1.1693199,1.2629776,-0.02115357
6532045000784,1.1693199,1.2629776,-0.02115357
